,linhas,date,mean_geral,median_geral,std_geral,perc95_geral,cv_geral,trips_geral,ltt_mean,rbt_mean,ltt_median,rbt_median,ltt_cv,ltt_std,route_category,origin_sector,destination_sector,direction,planned_headway,passenger_two_dir,passenger_one_way,bus_stops_one_dir,planned_tt,length_round_trip,bus_lane,demand,frequency,capacity_per_trip,conforto_pass_m2,temp_max,temp_med,temp_min,umid_med,umid_min,chuva_mm,stops_km,dist_stops_to_stops,confort_index_geral,ipk,ewt_mean,ewt_median,customer_w_appointment,customer_appointment
551,978T_10_0,2017-04-27,734.6440481927712,368.577,1053.990646861459,2034.7410999999997,1.4346956862364604,83,3616.301311699533,1222.3733671893958,3728.5438937393274,1014.070791233943,0.21290916274401434,774.9271907985338,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,20.3,17.5,17.2,82.0,72,10.6,3.1515151515151514,0.3173076923076923,4.704647160068847,9.979554581964221,1123.3999412892415,563.6190494963558,5866.014626262512,6777.35578497327
552,978T_10_0,2017-04-28,338.6520220994476,315.2990000000001,151.84731255683403,615.8860000000002,0.44838743798270597,181,3119.3737980611754,817.5592101740946,3204.535882430027,591.5257322989,0.20888212062666012,653.4091354077317,2,1,9,0,291,27333,13667,52,68,33,0,0,0,35,4,16.2,14.5,13.5,83.0,72,0.2,3.1515151515151514,0.3173076923076923,2.157379636937648,4.576259835928345,203.36922477068282,189.34513605869336,3999.4308394996096,4411.947614728927
553,2006_10_0,2017-03-02,332.4852282608696,286.142,237.5032957232868,728.7609999999999,0.7143273611450207,184,1217.8138300932658,1190.124019761832,1227.9246000348426,320.0913977393029,0.22265897915950073,271.8970414814798,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,28.8,25.1,22.8,62.8,48,0.0,3.3846153846153846,0.29545454545454547,1.5228260869565218,8.199832775919733,251.07016537906526,216.07492049399897,1799.0861631532107,2276.7769977741455
554,2006_10_0,2017-03-03,323.0914444444444,279.415,211.31036379628028,695.2657999999999,0.654026491353333,189,1286.6921894215202,1243.729657753741,1318.204496702339,334.1075958177421,0.23273253302931035,300.2380230443393,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,28.5,22.7,20.3,77.7,54,7.2,3.3846153846153846,0.29545454545454547,1.4825396825396826,7.982905982905983,230.64701013236098,199.46747412934107,1882.959102652442,2347.577892520081
555,2006_10_0,2017-03-06,330.29050537634413,277.0455,224.578469464359,786.1560000000001,0.6799422502577442,186,1270.4398051141213,1226.7999945092297,1289.1400482667345,276.01639922112145,0.16426633491946174,209.24774248991295,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,27.9,22.3,20.1,84.2,55,30.0,3.3846153846153846,0.29545454545454547,1.5064516129032257,8.11166253101737,241.49544763169024,202.56479053374957,1806.6518951195462,2351.312447487856
556,2006_10_0,2017-03-07,360.00233136094676,317.783,226.79340788959294,724.8169999999998,0.629977608845551,169,1249.6110228749603,1192.6771635180987,1290.4755984119265,285.2098840922804,0.22633548114461216,283.6523045792497,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,29.7,22.9,20.0,77.3,42,35.2,3.3846153846153846,0.29545454545454547,1.6579881656804734,8.927628584433318,251.4385500825831,221.95105364687487,1827.12403258679,2300.5024825042065
557,2006_10_0,2017-03-08,316.92483937823823,275.67400000000004,207.8303510923185,713.8117999999998,0.6557717328185834,193,1262.6243752008363,1232.4631787268393,1271.8087193104027,283.62588522047963,0.17873235953912112,226.2527146332324,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,28.5,22.9,16.5,79.7,51,41.6,3.3846153846153846,0.29545454545454547,1.4518134715025908,7.817457154244719,226.60705442317126,197.1119500876296,1782.0416589540537,2269.246404530882
558,2006_10_0,2017-03-09,324.73823936170226,256.8325,218.76174083570112,752.8708,0.6736556226507047,188,1244.2246517627414,1231.8150198946817,1244.865242782074,295.1890273531376,0.1897692967633519,236.74277145169873,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,31.1,24.6,20.6,69.5,40,0.0,3.3846153846153846,0.29545454545454547,1.4904255319148936,8.025368248772503,236.05415804826427,186.6930721374132,1776.1084281834758,2292.9250701352116
559,2006_10_0,2017-03-10,434.43226241134755,270.466,579.055500913867,1116.944,1.3329016995648015,141,1311.2584504738466,1221.8560223794761,1297.5984986847552,333.0218414277058,0.16375690128818754,215.4771085031793,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,31.1,25.3,21.6,67.9,43,0.0,3.3846153846153846,0.29545454545454547,1.9872340425531916,10.700490998363339,603.1281618608941,375.49159107205315,2233.748501973355,2747.5643401124607
560,2006_10_0,2017-03-13,340.10368888888894,290.876,209.528488287187,735.4892499999991,0.6160723777260748,180,1224.9745520380718,1152.0953396216814,1228.4064760452613,299.46640366890847,0.16073694388160292,197.43590738748912,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,27.5,23.1,21.3,72.7,50,0.0,3.3846153846153846,0.29545454545454547,1.5566666666666666,8.382051282051282,234.59420143466312,200.6382911030471,1762.467081148833,2263.362129714169
561,2006_10_0,2017-03-14,337.60333149171294,284.375,213.46026496340033,774.763,0.6322812752475462,181,1304.6337735360632,1397.9214261714712,1303.9649217797414,667.4272636282144,0.26330983573644173,344.47055579843556,2,3,3,1,406,19614,9807,22,27,13,0,0,0,35,4,25.9,21.6,19.5,76.7,62,1.2,3.3846153846153846,0.29545454545454547,1.5480662983425415,8.33574160645984,236.2851300187254,199.03116344313807,2207.677315426681,2746.1551854079557
