,route,ewt_mean,ewt_perc_25,ewt_perc_50,ewt_perc_75,rbt_geral,rbt_perc_25,rbt_perc_50,rbt_perc_75
134,5024-10-0,0.9433230048938421,0.965861976106182,0.971136862679603,0.9655083503719167,0.18189368568970546,0.23325279055346163,0.31441174118000426,0.560104627755983
135,5029-10-0,1.2876633062900775,1.8757740565111642,1.8809402015170236,2.350920382080119,0.3111617663814127,0.35589257151586956,0.40552029477508267,0.5161796912795119
136,502J-10-0,1.2171251626956576,1.2379930784976558,1.2123626870777875,1.1712115097064788,0.2078406728389257,0.2309635498802407,0.25326166834478514,0.30010412716786966
137,5030-10-0,0.6672932460521712,0.6856855384731648,0.717059238711449,0.7325621286030456,0.2901231255724466,0.402575526856573,0.5330314195654904,1.2628349856379866
138,5036-10-0,1.0256706803620879,1.0230839721228029,1.0475306501901196,1.072838597895164,0.21580561061532158,0.2406984979476377,0.32233535577823924,0.3328605731616568
139,507T-10-0,0.8920199389091807,0.9050799099160235,0.925890492299126,0.9465329719317508,0.1677795918756159,0.19016369555690565,0.23597001039966395,0.31927863370193765
140,509M-10-0,0.7984818472844422,0.8059931314176275,0.8157343881489595,0.8091019371980923,0.25678343663173187,0.26530351782762174,0.28495346653770914,0.3223202875259502
141,5105-10-0,1.0230959979415852,1.0290518654193797,1.0290518654193797,1.0311042003566306,0.2050723140840874,0.2659320797438328,0.2659320797438328,0.34613576198721285
142,5106-10-0,0.6637673645323233,0.7228629251288311,0.7350438775609119,0.7846524472915051,0.2034677327390461,0.2296427780546796,0.27737988680341846,0.527758970717541
143,5107-10-0,0.8900097917360708,0.8947612936833297,0.8842244580580454,0.8920325091555128,0.2746912434459607,0.335305240634997,0.4373457034114573,0.6199337448965643
144,5108-10-0,0.7988781443067381,0.8403553542643698,0.8893173213301072,0.9361260109260131,0.22504435929968575,0.193357629488694,0.2395318193870518,0.3578153861158977
145,5119-10-0,0.9080802119755115,0.9452390317010655,1.0163016144574253,0.9941479759152607,0.2515169915448578,0.3104242177441973,0.30504807786160903,0.4414437141480959
146,5123-10-0,1.715984746699412,1.9247629931450472,2.3803911594131226,1.108189505319971,0.20041613978334805,0.19849621275873605,0.21788106172770375,0.29632059355866486
