trip,headway
377810,454.736842
377810,440.000000
378510,420.000000
378510,581.052632
378710,429.473684
378710,593.684211
378910,375.789474
378910,533.684211
379110,457.894737
379110,457.894737
379310,407.368421
379310,473.684211
379510,821.052632
379510,726.666667
379610,568.421053
379610,713.684211
390110,1383.333333
390110,1466.666667
390210,827.368421
390210,855.789474
390310,1366.666667
390310,1466.666667
390E10,682.105263
390E10,729.473684
393C10,3600.000000
400110,840.000000
400110,827.368421
400210,795.789474
400210,918.947368
400310,1389.473684
400310,1373.684211
400410,483.157895
400510,483.157895
400610,884.210526
400710,821.052632
400710,934.736842
400810,1127.368421
400810,1190.526316
401010,1800.000000
401010,1729.411765
401110,767.368421
401110,773.684211
401210,385.263158
401210,391.578947
401310,593.684211
401310,584.210526
401410,697.894737
401410,833.684211
401510,855.789474
401610,855.789474
401710,735.789474
401710,773.684211
401810,407.368421
401810,432.631579
402410,618.947368
402410,669.473684
402510,821.052632
402510,653.333333
402710,442.105263
402710,416.842105
402741,1729.411765
402741,1729.411765
402810,1010.526316
402810,1042.105263
402910,375.789474
402910,346.666667
403010,650.526316
403010,623.333333
403110,521.052632
403110,503.333333
403210,780.000000
403210,930.000000
403310,1033.333333
403310,1111.578947
403A10,944.210526
403A10,1051.578947
405110,448.421053
405110,473.684211
405210,385.263158
405210,461.052632
405310,600.000000
405410,631.578947
405610,691.578947
405610,748.421053
407A10,757.894737
407A10,884.210526
407C10,1531.578947
407C10,1500.000000
407E10,972.631579
407E10,976.666667
407F10,767.368421
407F10,783.333333
407G10,426.315789
407G10,420.000000
407H10,685.263158
407H10,690.000000
407I10,1016.842105
407I10,1000.000000
407J10,701.052632
407J10,580.000000
407K10,606.315789
407K10,556.666667
407L10,666.315789
407L10,616.666667
407M10,1626.315789
407N10,489.473684
407N10,466.666667
407N21,1800.000000
407P10,653.684211
407P10,636.666667
407R10,798.947368
407R10,670.000000
407T10,480.000000
407T10,590.526316
407W10,1127.368421
407W10,1231.578947
407Y10,1294.736842
408510,767.368421
408510,792.631579
408610,1057.894737
408610,1057.894737
408A10,846.666667
408A10,956.666667
409210,846.315789
411110,1166.666667
411210,990.000000
411310,450.000000
411410,1966.666667
411410,2100.000000
