data,hora_utc,temp_hora_celsius,umidade_perc,pressao_hPa,veloc_vento_ms,dir_vento_ms,nebulosidade_decimos,insolacao_h,temp_max_Diaria_h,temp_min_diaria_h,chuva_diaria_mm,
12/04/2017,1200,19.8,87.0,927.9,2.5,14.0,10.0,,,17.6,0.0,
12/04/2017,1800,20.0,77.0,926.6,5.0,23.0,10.0,,,,,
13/04/2017,0000,18.4,85.0,928.5,2.6,23.0,10.0,0.00,20.3,,,
13/04/2017,1200,19.2,81.0,929.2,2.6,14.0,10.0,,,17.4,1.7,
13/04/2017,1800,19.5,64.0,928.2,3.3,32.0,10.0,,,,,
14/04/2017,0000,17.7,85.0,929.3,4.1,9.0,10.0,1.30,24.1,,,
14/04/2017,1200,18.4,86.0,929.5,2.6,14.0,10.0,,,16.5,0.0,
14/04/2017,1800,23.0,70.0,927.0,2.5,23.0,10.0,,,,,
15/04/2017,0000,19.4,85.0,928.7,2.0,14.0,10.0,10.00,27.6,,,
15/04/2017,1200,22.9,74.0,928.8,1.6,14.0,8.0,,,17.9,0.0,
15/04/2017,1800,27.2,55.0,927.3,3.0,18.0,8.0,,,,,
16/04/2017,0000,20.0,85.0,928.3,2.0,14.0,4.0,7.90,29.1,,,
16/04/2017,1200,20.5,83.0,926.7,2.1,9.0,8.0,,,17.3,0.0,
16/04/2017,1800,29.0,41.0,924.2,4.1,27.0,8.0,,,,,
17/04/2017,0000,24.1,62.0,925.4,2.3,14.0,0.0,0.00,24.1,,,
17/04/2017,1200,20.4,86.0,926.7,0.0,0.0,10.0,,,17.2,0.4,
17/04/2017,1800,19.5,85.0,925.9,3.3,23.0,10.0,,,,,
18/04/2017,0000,18.5,91.0,927.3,3.3,23.0,10.0,3.90,22.6,,,
18/04/2017,1200,18.7,73.0,930.0,3.3,9.0,10.0,,,16.4,0.0,
18/04/2017,1800,21.7,60.0,928.0,5.0,23.0,8.0,,,,,
19/04/2017,0000,17.0,79.0,929.7,3.3,9.0,4.0,3.20,23.0,,,
